Target Composition (%).Co,Target Composition (%).Cr,Target Composition (%).Fe,Target Composition (%).Mn,Target Composition (%).Ni,Target Composition (%).V,Elastic Modulus.b,Elongation.b,Maximum ∂2σ/∂ε2.b,UTS/YS Ratio.b,Ultimate Tensile Strength.b,Yield Strength.b,Elastic Modulus.c,Elongation.c,Maximum ∂2σ/∂ε2.c,UTS/YS Ratio.c,Ultimate Tensile Strength.c,Yield Strength.c,Measured Composition (%).Al,Measured Composition (%).Co,Measured Composition (%).Cr,Measured Composition (%).Cu,Measured Composition (%).Fe,Measured Composition (%).Mn,Measured Composition (%).Ni,Measured Composition (%).V,XRD.Phase,XRD.Lattice Parameters,Elastic Modulus.d,Elongation.d,Maximum ∂2σ/∂ε2.d,UTS/YS Ratio.d,Ultimate Tensile Strength.d,Yield Strength.d
8,8,24,8,44,8,216.734395508297,0.0,3735.59768384255,4.311809468125133,753.65830172295,174.789333177715,214.355825363747,0.0,3466.87043022717,4.288848731368085,757.894356034709,176.712773871358,0,8.163333333333334,8.292666666666667,0,24.02466666666667,8.163333333333334,43.16400000000001,8.198666666666668,FCC,3.592027,,,,,,
16,8,8,12,44,12,215.33516662618,0.0,-125948.206300956,1.6543873284615074,502.099620522099,303.495808922222,242.354540711184,0.0,-1424.44008592488,2.6814748081925273,947.917920370051,353.506181551265,0,16.17928571428572,8.243571428571428,0,8.172142857142857,12.102142857142857,42.989285714285714,12.31,FCC,3.5967216,206.448554475461,0.0,-2374.21089664363,1.8176764086895023,639.557427213003,351.854391769384
32,8,8,12,32,8,240.048353143212,0.0,-676.891802642806,3.8983021509409213,1031.95154664977,264.718204667817,232.756862015372,0.0,-641.308781533603,3.9674527152229735,1022.91199484402,257.825881810549,0,31.958000000000002,8.314666666666666,0,8.152666666666667,12.309333333333335,31.064666666666668,8.200666666666667,FCC,3.5815904,,,,,,
8,8,20,12,44,8,211.327991546542,0.0,3415.66674858482,4.709260306987769,848.693143323896,180.217929780729,216.930476318357,0.0,2266.79123504759,3.0501490541660328,566.018343984686,185.570716031596,0,8.097333333333331,8.043333333333331,0,20.11733333333333,12.357333333333333,43.20733333333333,8.176666666666666,FCC,3.592766,188.731142777307,0.0,2508.52709193031,4.376715432364677,830.479643681919,189.749517992588
16,8,16,8,44,8,197.640518095846,0.0,1284.13822930231,3.5420884167078426,951.094597165673,268.512381757443,221.000550485604,0.0,-1073.56877674883,3.607991729063543,923.116608080347,255.853304940902,0,16.116,8.219333333333333,0,16.116,8.196000000000003,43.15866666666667,8.188,FCC,3.5812113,,,,,,
8,8,32,8,40,4,207.703502740723,0.0,-28274.5414650295,1.61198846710099,540.050541404145,335.021343158475,201.944480976255,0.0,-11120.6061256242,1.6593049785199383,633.271734026148,381.648788031126,0,8.302666666666665,8.258000000000001,0,32.11133333333333,8.168666666666667,39.06933333333333,4.089333333333333,FCC,3.5902166,216.237784469464,0.0,-13665.9608442294,1.6601851456957937,680.576583078066,409.940171337235
16,8,12,12,40,12,232.753834625356,0.0,-12170.9370951943,1.6423325348103182,411.590807467717,250.61356256652,233.602160170218,0.0,884.420011363026,4.262585092752722,1065.01988367584,249.853049382309,0,15.991999999999997,8.222,0,12.086666666666668,12.241999999999999,39.18333333333332,12.272666666666668,FCC,3.5941243,216.521793657595,0.0,764.573415446064,3.8163751430006103,980.29270816734,256.864870835677
16,8,12,12,40,12,233.9893363704,0.0,510.672513218856,4.011819368648056,1038.65728560282,258.899314789648,208.26786215368,0.0,927.843043354735,4.049176098549868,1019.76247631535,251.844437361111,0,16.158571428571427,8.220714285714285,0,12.148571428571428,12.208571428571432,39.105714285714285,12.157857142857143,FCC,3.587536,,,,,,
28,12,12,8,36,4,207.191999691363,0.0,1391.04863552685,4.57767425784042,844.02176332681,184.377855606744,221.162770935498,0.0,1019.96158701724,4.634748780066818,817.905619425694,176.472481732635,0,27.932666666666666,12.276000000000002,0,12.15,8.234000000000002,35.32333333333334,4.083333333333333,FCC,3.5738897,,,,,,
12,8,20,8,44,8,227.559923050392,0.0,-579.530838730199,3.820344661671765,959.054962372848,251.038858350851,227.115398354719,0.0,-1074.18642611564,3.8406579873243962,836.766769122509,217.870680462606,0,12.26,8.199999999999998,0,20.09466666666667,8.173333333333332,43.08933333333333,8.182666666666666,FCC,3.5877101,,,,,,
